product_slug,metal_species,source_id,source_label,source_slug,source_page,source_product_label,basis,n,loaded_values_summary,mean_ppb,mean_lb_ppb,mean_ub_ppb,median_ppb,range_low_ppb,range_high_ppb,highest_ppb,censoring_status,censoring_limit_ppb,unit,row_fit,direct_distribution_detail,standards_use_note
infant-formula-powder-non-soy,tAs,fda2026-infant-formula-toxic-elements-special-survey,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,wiki/sources/fda2026-infant-formula-toxic-elements-special-survey.md,"Infant Formula, Powder, Cow Milk-based",prepared-for-feeding,230,highest 4.7 ppb,,,,,,,4.7,,,ppb,direct_category1_row,yes,"Distribution-capable input after row fit, basis, censoring, and clean-row review; not a standalone standard."
infant-formula-powder-non-soy,tAs,fsa2016-infant-food-formula-metals-survey,Fsa 2016,sources/fsa2016-infant-food-formula-metals-survey,wiki/sources/fsa2016-infant-food-formula-metals-survey.md,Comfort (from birth),as-sold,,LB/UB mean 1-3 ppb,,1,3,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,tAs,fsa2016-infant-food-formula-metals-survey,Fsa 2016,sources/fsa2016-infant-food-formula-metals-survey,wiki/sources/fsa2016-infant-food-formula-metals-survey.md,First milk & hungrier milk (from birth),as-sold,,LB/UB mean 1-3 ppb,,1,3,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,tAs,fsa2016-infant-food-formula-metals-survey,Fsa 2016,sources/fsa2016-infant-food-formula-metals-survey,wiki/sources/fsa2016-infant-food-formula-metals-survey.md,Follow on milk (from 6 months),as-sold,,LB/UB mean 1-3 ppb,,1,3,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,tAs,fsa2016-infant-food-formula-metals-survey,Fsa 2016,sources/fsa2016-infant-food-formula-metals-survey,wiki/sources/fsa2016-infant-food-formula-metals-survey.md,Goat based (from birth and growing up),as-sold,,mean 9 ppb,9,,,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,tAs,fsa2016-infant-food-formula-metals-survey,Fsa 2016,sources/fsa2016-infant-food-formula-metals-survey,wiki/sources/fsa2016-infant-food-formula-metals-survey.md,Growing up milk (12 months +),as-sold,,LB/UB mean 2-3 ppb,,2,3,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,tAs,fsa2016-infant-food-formula-metals-survey,Fsa 2016,sources/fsa2016-infant-food-formula-metals-survey,wiki/sources/fsa2016-infant-food-formula-metals-survey.md,Organic milk,as-sold,,mean 14 ppb,14,,,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,tHg,almeida2022-brazil-infant-formula-toxic-metals,Almeida 2022,sources/almeida2022-brazil-infant-formula-toxic-metals,wiki/sources/almeida2022-brazil-infant-formula-toxic-metals.md,DA1 cow-milk formula mean,as-sold,,reported <3 ppb,,,,,,,,less_than_lod,3,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,tHg,almeida2022-brazil-infant-formula-toxic-metals,Almeida 2022,sources/almeida2022-brazil-infant-formula-toxic-metals,wiki/sources/almeida2022-brazil-infant-formula-toxic-metals.md,DA2 cow-milk formula mean,as-sold,,reported <3 ppb,,,,,,,,less_than_lod,3,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,tHg,almeida2022-brazil-infant-formula-toxic-metals,Almeida 2022,sources/almeida2022-brazil-infant-formula-toxic-metals,wiki/sources/almeida2022-brazil-infant-formula-toxic-metals.md,DM1 cow-milk formula mean,as-sold,,reported <3 ppb,,,,,,,,less_than_lod,3,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
